Profile_scaled_periphery_data,Prh_Sc_O_SADR010324.jpg,Prh_Sc_O_SADR010493.jpg,Prh_Sc_O_SADR010555.jpg,Prh_Sc_O_SADR010557.jpg,Prh_Sc_O_SADR010560.jpg,Prh_Sc_O_SADR010568.jpg,Prh_Sc_O_SADR010571.jpg,Prh_Sc_O_SADR010595.jpg,Prh_Sc_O_SADR010597.jpg,Prh_Sc_O_SADR010600.jpg,Prh_Sc_O_SADR010606.jpg,Prh_Sc_O_SADR010608.jpg,Prh_Sc_O_SADR010688.jpg,Prh_Sc_O_SADR010771.jpg,Prh_Sc_O_SADR010891.jpg,Prh_Sc_O_SADR010901.jpg,Prh_Sc_O_SADR010903.jpg,Prh_Sc_O_SADR010907.jpg,Prh_Sc_O_SADR010911.jpg,Prh_Sc_O_SADR010985.jpg,Prh_Sc_O_SADR010987.jpg,Prh_Sc_O_SADR010988.jpg,Prh_Sc_O_SADR010990.jpg,Prh_Sc_O_SADR010991.jpg,Prh_Sc_O_SADR010993.jpg,Prh_Sc_O_SADR011004.jpg,Prh_Sc_O_SADR011075.jpg,Prh_Sc_O_SADR011076.jpg,Prh_Sc_O_SADR011077.jpg,Prh_Sc_O_SADR011090.jpg,Prh_Sc_O_SADR011104.jpg,Prh_Sc_O_SADR011135.jpg,Prh_Sc_O_SADR011296.jpg,Prh_Sc_O_SADR011508.jpg,Prh_Sc_O_SADR011815.jpg,Prh_Sc_O_SADR011829.jpg,Prh_Sc_O_SADR011830.jpg,Prh_Sc_O_SADR011831.jpg,Prh_Sc_O_SADR011834.jpg,Prh_Sc_O_SADR011835.jpg,Prh_Sc_O_SADR020634.jpg,Prh_Sc_O_SADR020702.jpg,Prh_Sc_O_SADR020704.jpg,Prh_Sc_O_SADR020738.jpg,Prh_Sc_O_SADR020749.jpg,Prh_Sc_O_SADR020865.jpg,Prh_Sc_O_SADR020881.jpg,Prh_Sc_O_SADR020923.jpg,Prh_Sc_O_SADR020945.jpg,Prh_Sc_O_SADR020952.jpg,Prh_Sc_O_SADR020953.jpg,Prh_Sc_O_SADR020954.jpg,Prh_Sc_O_SADR020963.jpg,Prh_Sc_O_SADR020966.jpg,Prh_Sc_O_SADR020971.jpg,Prh_Sc_O_SADR020974.jpg,Prh_Sc_O_SADR020976.jpg,Prh_Sc_O_SADR020994.jpg,Prh_Sc_O_SADR021073.jpg,Prh_Sc_O_SADR021088.jpg,Prh_Sc_O_SADR021090.jpg,Prh_Sc_O_SADR021098.jpg,Prh_Sc_O_SADR021137.jpg,Prh_Sc_O_SADR021195.jpg,Prh_Sc_O_SADR021208.jpg,Prh_Sc_O_SADR021282.jpg,Prh_Sc_O_SADR021398.jpg,Prh_Sc_O_SADR021423.jpg,Prh_Sc_O_SADR021441.jpg,Prh_Sc_O_SADR021525.jpg,Prh_Sc_O_SADR021628.jpg,Prh_Sc_O_SADR021655.jpg,Prh_Sc_O_SADR021656.jpg,Prh_Sc_O_SADR021658.jpg,Prh_Sc_O_SADR021663.jpg,Prh_Sc_O_SADR021664.jpg,Prh_Sc_O_SADR021666.jpg,Prh_Sc_O_SADR021670.jpg,Prh_Sc_O_SADR021680.jpg,Prh_Sc_O_SADR021802.jpg,Prh_Sc_O_SADR021834.jpg,Prh_Sc_O_SADR021843.jpg,Prh_Sc_O_SADR021848.jpg
11,-35,-53,-34,-18,-32,-53,-42,-19,-39,-52,-31,-48,-28,-35,-57,-37,-21,-43,-37,-51,-43,-29,-51,-63,-36,-32,-33,-30,-31,-35,-51,-43,-35,-44,-17,-21,-32,-29,-28,-39,-25,-35,-39,-33,-35,-25,-28,-49,-38,-42,-47,-53,-41,-47,-41,-42,-32,-21,-18,-25,-29,-29,-19,-30,-1,-22,-45,-28,-25,-50,-35,-47,-19,-22,-19,-23,-19,-34,-27,-8,-15,-27,0
12,-35,-53,-34,-18,-32,-53,-42,-19,-39,-52,-31,-48,-28,-35,-57,-37,-21,-43,-37,-51,-43,-29,-51,-63,-36,-32,-33,-30,-31,-35,-51,-43,-35,-44,-17,-21,-32,-29,-28,-39,-25,-35,-39,-31,-35,-25,-28,-48,-38,-41,-47,-53,-41,-47,-41,-42,-32,-21,-19,-26,-29,-29,-19,-29,-1,-25,-45,-28,-25,-50,-35,-47,-19,-23,-19,-23,-19,-34,-27,-8,-15,-27,-1
13,-35,-53,-34,-20,-32,-53,-42,-19,-39,-52,-31,-48,-28,-35,-56,-37,-21,-43,-37,-51,-43,-29,-51,-63,-36,-32,-33,-30,-31,-35,-51,-43,-35,-42,-17,-21,-32,-29,-28,-39,-25,-35,-39,-31,-35,-25,-28,-48,-38,-41,-47,-53,-41,-47,-41,-42,-32,-21,-20,-26,-29,-29,-19,-28,-1,-25,-45,-28,-25,-50,-35,-46,-19,-23,-19,-23,-19,-34,-27,-8,-15,-27,-2
14,-35,-53,-34,-20,-34,-53,-42,-19,-39,-52,-31,-48,-28,-35,-54,-37,-21,-43,-37,-51,-43,-29,-51,-62,-35,-32,-33,-30,-31,-35,-51,-43,-35,-42,-17,-21,-32,-29,-28,-39,-25,-35,-39,-31,-35,-25,-28,-48,-38,-41,-47,-53,-41,-47,-41,-42,-32,-21,-21,-26,-29,-29,-19,-27,-1,-25,-45,-28,-25,-50,-35,-45,-19,-23,-19,-23,-19,-34,-27,-8,-15,-27,-2
15,-35,-53,-34,-20,-34,-53,-42,-19,-39,-52,-31,-48,-28,-35,-53,-37,-21,-43,-37,-51,-43,-29,-51,-61,-35,-31,-33,-30,-31,-35,-51,-41,-35,-42,-17,-21,-32,-29,-28,-39,-25,-35,-39,-31,-35,-25,-28,-48,-38,-41,-47,-52,-41,-47,-41,-42,-32,-21,-21,-26,-29,-29,-19,-27,-1,-25,-45,-28,-25,-50,-35,-45,-19,-23,-19,-23,-19,-34,-27,-8,-15,-27,-2
16,-35,-53,-34,-20,-34,-53,-42,-18,-39,-52,-31,-48,-28,-35,-53,-37,-21,-43,-37,-51,-43,-29,-50,-60,-35,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-29,-28,-39,-25,-35,-39,-31,-35,-25,-28,-48,-38,-41,-47,-51,-41,-47,-41,-42,-32,-21,-21,-26,-29,-29,-19,-27,-1,-25,-45,-28,-25,-50,-35,-45,-19,-23,-19,-23,-19,-34,-27,-8,-15,-27,-2
17,-35,-53,-34,-20,-34,-53,-42,-17,-39,-52,-31,-48,-28,-35,-53,-37,-21,-43,-37,-51,-43,-29,-49,-60,-35,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-29,-28,-39,-25,-35,-39,-31,-35,-25,-28,-48,-38,-39,-45,-50,-41,-46,-41,-42,-32,-21,-21,-26,-29,-29,-22,-27,-2,-25,-45,-28,-25,-50,-35,-45,-21,-23,-19,-23,-19,-34,-25,-8,-15,-27,-2
18,-35,-53,-34,-20,-34,-53,-42,-17,-39,-52,-31,-48,-28,-35,-53,-37,-21,-43,-37,-51,-43,-29,-47,-60,-35,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-29,-28,-39,-25,-35,-39,-31,-35,-25,-28,-47,-38,-38,-45,-49,-41,-45,-41,-42,-32,-21,-21,-26,-29,-29,-22,-27,-3,-25,-45,-28,-25,-50,-35,-45,-21,-23,-19,-23,-19,-34,-25,-8,-15,-27,-2
19,-35,-53,-34,-20,-34,-53,-42,-17,-39,-52,-31,-48,-28,-35,-53,-36,-21,-43,-37,-51,-43,-29,-47,-60,-35,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-29,-28,-39,-25,-35,-39,-31,-35,-25,-29,-46,-38,-38,-45,-49,-41,-45,-41,-42,-32,-22,-22,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-48,-35,-44,-21,-23,-19,-23,-19,-34,-25,-8,-15,-27,-2
20,-34,-53,-34,-20,-34,-53,-42,-17,-39,-52,-31,-48,-28,-35,-53,-35,-21,-43,-37,-51,-42,-29,-47,-60,-35,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-28,-28,-39,-25,-35,-38,-31,-35,-25,-31,-45,-38,-38,-45,-49,-41,-45,-41,-42,-32,-23,-24,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-48,-35,-43,-21,-23,-19,-23,-19,-34,-25,-8,-15,-27,-2
21,-34,-53,-34,-20,-35,-53,-42,-17,-39,-52,-31,-48,-28,-35,-52,-35,-21,-43,-37,-51,-41,-29,-47,-59,-34,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-27,-28,-39,-26,-35,-37,-31,-34,-25,-31,-45,-38,-38,-45,-49,-41,-45,-41,-42,-32,-23,-24,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-48,-35,-43,-21,-23,-19,-23,-19,-33,-25,-8,-15,-27,-2
22,-34,-53,-34,-20,-35,-53,-42,-17,-39,-52,-31,-48,-28,-35,-51,-35,-21,-43,-37,-51,-41,-29,-47,-57,-33,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-27,-28,-39,-26,-35,-36,-31,-33,-25,-31,-45,-38,-38,-45,-49,-41,-45,-41,-39,-32,-23,-24,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-48,-34,-43,-21,-23,-19,-23,-19,-32,-25,-8,-15,-27,-2
23,-34,-53,-34,-20,-35,-53,-42,-17,-39,-52,-31,-48,-28,-35,-50,-35,-21,-43,-37,-51,-41,-29,-47,-56,-33,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-27,-28,-39,-29,-35,-36,-31,-32,-25,-31,-45,-38,-37,-45,-49,-41,-44,-39,-39,-33,-23,-24,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-48,-33,-43,-21,-23,-19,-23,-19,-32,-25,-8,-15,-27,-2
24,-34,-53,-34,-20,-35,-53,-42,-17,-39,-52,-31,-48,-28,-35,-49,-35,-21,-43,-37,-50,-41,-29,-47,-56,-33,-30,-33,-30,-31,-33,-51,-41,-35,-42,-17,-21,-32,-27,-28,-39,-29,-35,-36,-31,-32,-25,-31,-43,-38,-35,-45,-49,-41,-43,-38,-39,-35,-23,-24,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-48,-32,-41,-21,-23,-19,-23,-19,-32,-25,-8,-15,-27,-3
25,-34,-53,-34,-20,-35,-53,-42,-17,-39,-52,-31,-48,-28,-35,-49,-35,-21,-43,-37,-49,-41,-29,-47,-55,-33,-30,-33,-30,-31,-33,-51,-40,-35,-42,-17,-21,-32,-27,-29,-39,-29,-34,-36,-31,-32,-25,-31,-43,-38,-35,-45,-49,-40,-43,-38,-39,-35,-23,-24,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-47,-32,-41,-21,-23,-19,-23,-19,-32,-25,-8,-15,-27,-4
26,-33,-53,-34,-20,-37,-53,-42,-17,-39,-52,-31,-48,-28,-35,-49,-35,-21,-43,-37,-48,-41,-29,-47,-53,-33,-30,-33,-30,-31,-33,-51,-39,-35,-42,-17,-21,-32,-27,-31,-39,-29,-32,-36,-30,-32,-25,-31,-43,-38,-35,-45,-49,-38,-43,-38,-39,-35,-23,-24,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-46,-32,-41,-21,-23,-19,-23,-19,-32,-25,-8,-15,-27,-4
27,-32,-53,-34,-20,-37,-53,-42,-17,-39,-52,-31,-48,-28,-35,-49,-35,-21,-43,-37,-48,-39,-29,-47,-53,-33,-30,-33,-30,-31,-33,-51,-39,-35,-42,-17,-21,-32,-27,-31,-39,-29,-32,-36,-29,-32,-25,-31,-43,-38,-35,-45,-48,-37,-43,-38,-39,-35,-23,-24,-26,-29,-29,-22,-27,-4,-25,-45,-28,-25,-46,-32,-41,-21,-23,-19,-23,-19,-32,-25,-8,-15,-27,-4
28,-32,-53,-34,-20,-37,-53,-42,-17,-39,-51,-31,-48,-28,-35,-49,-34,-21,-43,-37,-48,-38,-29,-46,-53,-33,-30,-33,-30,-31,-33,-48,-39,-35,-42,-17,-22,-32,-27,-31,-39,-29,-32,-36,-29,-32,-25,-31,-42,-38,-35,-44,-46,-37,-43,-38,-39,-35,-23,-24,-26,-29,-29,-22,-27,-5,-25,-45,-28,-25,-46,-32,-41,-21,-23,-19,-23,-19,-32,-25,-8,-15,-27,-4
29,-32,-53,-34,-20,-37,-51,-42,-17,-39,-49,-31,-48,-28,-35,-49,-33,-20,-43,-37,-48,-38,-29,-45,-53,-33,-30,-33,-30,-31,-33,-48,-39,-35,-42,-17,-23,-32,-27,-31,-39,-29,-32,-34,-29,-32,-25,-31,-41,-38,-35,-43,-46,-37,-42,-38,-39,-35,-23,-25,-26,-29,-29,-22,-27,-6,-25,-45,-28,-25,-46,-32,-41,-21,-23,-19,-23,-19,-32,-25,-8,-15,-27,-4
30,-32,-53,-34,-20,-37,-50,-42,-17,-39,-48,-31,-48,-28,-35,-48,-32,-19,-43,-37,-48,-38,-29,-44,-53,-32,-29,-33,-30,-27,-33,-48,-39,-35,-42,-17,-26,-32,-27,-31,-39,-29,-32,-34,-29,-32,-25,-31,-40,-38,-35,-42,-45,-37,-41,-38,-39,-35,-23,-26,-26,-29,-29,-22,-27,-6,-25,-45,-28,-24,-46,-32,-39,-21,-23,-19,-23,-19,-31,-25,-8,-15,-27,-4
31,-31,-53,-34,-20,-37,-49,-42,-17,-39,-48,-31,-48,-28,-35,-46,-32,-19,-43,-37,-48,-38,-28,-43,-52,-32,-28,-33,-30,-26,-33,-48,-39,-35,-42,-17,-26,-32,-27,-31,-39,-29,-32,-34,-29,-32,-25,-31,-40,-38,-35,-42,-45,-37,-41,-38,-39,-35,-23,-28,-26,-29,-29,-22,-27,-6,-25,-45,-28,-22,-46,-32,-39,-21,-23,-19,-23,-19,-30,-25,-8,-15,-27,-4
32,-31,-50,-34,-20,-37,-49,-42,-17,-39,-48,-31,-45,-28,-35,-45,-32,-19,-43,-37,-48,-38,-27,-43,-51,-32,-28,-33,-30,-25,-32,-48,-39,-35,-42,-17,-26,-32,-27,-31,-39,-29,-32,-34,-29,-32,-25,-31,-40,-38,-34,-42,-45,-37,-41,-38,-39,-35,-23,-28,-26,-29,-29,-22,-27,-6,-25,-43,-28,-22,-45,-32,-39,-21,-23,-19,-23,-19,-29,-25,-10,-15,-27,-4
33,-31,-49,-34,-20,-37,-49,-42,-16,-39,-48,-31,-44,-28,-35,-44,-32,-19,-43,-37,-47,-38,-26,-43,-50,-32,-28,-33,-30,-25,-31,-48,-38,-35,-42,-17,-26,-32,-27,-31,-39,-29,-32,-34,-29,-31,-25,-31,-40,-38,-33,-42,-45,-37,-41,-38,-39,-35,-23,-28,-29,-29,-29,-22,-26,-6,-25,-42,-28,-22,-43,-31,-39,-21,-23,-19,-23,-19,-29,-25,-10,-15,-27,-4
34,-31,-49,-34,-20,-37,-49,-42,-16,-39,-48,-31,-43,-28,-35,-44,-32,-19,-43,-37,-46,-37,-26,-43,-49,-31,-28,-33,-30,-25,-31,-48,-37,-35,-42,-17,-26,-32,-27,-31,-39,-29,-32,-34,-28,-30,-25,-31,-38,-38,-32,-42,-45,-37,-41,-38,-38,-35,-23,-28,-29,-29,-29,-22,-25,-6,-25,-41,-28,-22,-43,-30,-37,-21,-23,-19,-23,-17,-29,-25,-10,-15,-27,-4
35,-30,-49,-34,-20,-39,-49,-42,-16,-39,-48,-31,-43,-28,-35,-44,-32,-19,-43,-36,-45,-36,-26,-43,-48,-30,-28,-33,-30,-25,-31,-48,-37,-34,-42,-17,-26,-32,-27,-31,-39,-29,-32,-34,-27,-29,-25,-31,-38,-38,-31,-42,-44,-37,-40,-37,-37,-35,-23,-28,-29,-29,-29,-22,-24,-6,-25,-41,-28,-22,-41,-30,-37,-21,-23,-20,-23,-17,-29,-25,-10,-13,-27,-4
36,-30,-49,-34,-20,-39,-49,-42,-16,-39,-47,-31,-43,-28,-35,-44,-32,-19,-43,-35,-45,-36,-26,-42,-47,-30,-28,-33,-30,-25,-31,-48,-37,-33,-42,-17,-26,-32,-27,-31,-39,-29,-32,-33,-27,-29,-25,-31,-38,-38,-31,-40,-42,-37,-39,-35,-36,-35,-23,-28,-29,-29,-29,-22,-24,-7,-25,-41,-28,-22,-41,-30,-37,-21,-23,-21,-23,-17,-29,-25,-10,-13,-27,-4
37,-30,-49,-34,-20,-39,-49,-42,-16,-39,-45,-31,-43,-28,-35,-44,-32,-19,-43,-33,-45,-36,-26,-41,-46,-30,-27,-33,-30,-25,-31,-48,-36,-31,-42,-17,-26,-32,-27,-31,-39,-29,-31,-32,-27,-29,-25,-31,-38,-38,-31,-40,-42,-36,-39,-35,-35,-35,-23,-28,-29,-29,-29,-22,-24,-8,-25,-41,-28,-22,-41,-30,-37,-21,-23,-21,-23,-17,-28,-25,-10,-13,-27,-4
38,-29,-49,-34,-20,-39,-49,-42,-16,-39,-44,-31,-43,-28,-35,-44,-31,-19,-43,-32,-45,-35,-26,-40,-45,-30,-27,-33,-30,-25,-31,-48,-35,-30,-41,-17,-26,-32,-27,-31,-39,-29,-29,-31,-27,-29,-25,-31,-37,-38,-31,-40,-42,-35,-39,-35,-35,-35,-23,-28,-29,-29,-29,-22,-24,-9,-25,-41,-28,-22,-41,-30,-36,-21,-23,-21,-23,-17,-27,-25,-10,-13,-27,-6
39,-29,-49,-34,-20,-39,-49,-42,-16,-39,-44,-31,-43,-28,-35,-43,-30,-19,-43,-31,-44,-34,-26,-39,-44,-30,-27,-33,-30,-25,-31,-47,-35,-30,-40,-17,-26,-32,-27,-31,-37,-29,-29,-31,-27,-29,-25,-31,-36,-38,-30,-40,-42,-34,-38,-35,-35,-35,-23,-28,-29,-29,-29,-22,-24,-9,-25,-40,-25,-22,-40,-30,-35,-21,-23,-21,-23,-17,-27,-25,-10,-13,-27,-6
40,-29,-49,-34,-20,-39,-49,-42,-16,-39,-44,-31,-43,-28,-35,-41,-30,-19,-43,-31,-43,-34,-26,-38,-43,-30,-27,-33,-30,-25,-31,-47,-35,-30,-39,-17,-26,-32,-27,-31,-36,-29,-29,-31,-27,-29,-25,-31,-35,-38,-29,-39,-42,-33,-37,-35,-35,-33,-24,-28,-29,-29,-29,-22,-24,-9,-25,-38,-25,-22,-39,-29,-35,-19,-23,-21,-23,-17,-27,-25,-10,-13,-27,-6
41,-28,-49,-34,-20,-39,-49,-42,-16,-39,-44,-31,-43,-28,-35,-40,-30,-19,-43,-31,-42,-34,-26,-38,-42,-29,-27,-33,-30,-25,-30,-45,-35,-30,-39,-17,-26,-32,-27,-31,-36,-29,-29,-31,-25,-29,-25,-31,-35,-38,-28,-38,-41,-32,-36,-34,-35,-32,-26,-28,-29,-29,-29,-22,-24,-9,-25,-38,-25,-22,-39,-27,-35,-19,-23,-21,-23,-17,-27,-25,-10,-13,-27,-6
42,-28,-49,-34,-20,-39,-49,-42,-16,-39,-44,-31,-43,-24,-35,-40,-30,-19,-43,-31,-42,-33,-26,-38,-41,-29,-26,-33,-30,-25,-30,-44,-35,-30,-39,-17,-26,-32,-26,-31,-36,-29,-29,-31,-25,-29,-25,-31,-35,-38,-28,-38,-41,-32,-36,-32,-35,-32,-26,-28,-29,-29,-29,-22,-24,-9,-25,-37,-25,-22,-39,-27,-34,-19,-23,-21,-23,-17,-27,-24,-10,-13,-27,-6
